instrument_key,symbol,sector,industry,basic_industry
INE09XN01023,AKUMS,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
INE0AG901020,CEIGALL,Construction,Construction,Civil Construction
INE0OXY01013,AFCOM,Services,Transport Services,Logistics Solution Provider
INE0LXG01040,OLAELEC,Automobile and Auto Components,Automobiles,2/3 Wheelers
INE02RE01045,FIRSTCRY,Consumer Services,Retailing,E-Retail/ E-Commerce
INE00U401027,UNIECOM,Information Technology,IT - Software,Software Products
INE0PQ101010,SSDL,Textiles,Textiles & Apparels,Garments & Apparels
INE0SFZ01018,BROACH,Healthcare,Healthcare Services,Hospital
INE00M901018,INTERARCH,Construction,Construction,Civil Construction
INE0US801024,MFML,Textiles,Textiles & Apparels,Other Textile Products
INE0URU01010,GLOBALE,Textiles,Textiles & Apparels,Trading - Textile Products
INE0PPK01015,ORIENTTECH,Information Technology,IT - Services,IT Enabled Services
INE0SK201011,RAL,Automobile and Auto Components,Automobiles,Auto -Dealer
INE0QA901010,RAPID,Services,Transport Services,Logistics Solution Provider
INE0BS701011,PREMIERENE,Capital Goods,Electrical Equipment,Other Electrical Equipment
INE06HJ01020,ECOSMOBLTY,Services,Transport Services,Road Transport
INE02ID01020,RAYMONDLSL,Textiles,Textiles & Apparels,Other Textile Products
INE0SG001011,TRAVELS,Consumer Services,Leisure Services,"Tour, Travel Related Services"
INE01FR01028,STYLEBAAZA,Consumer Services,Retailing,Speciality Retail
INE0RE001014,GALAPREC,Capital Goods,Industrial Manufacturing,Industrial Products
INE0N4701016,NHL,Consumer Services,Leisure Services,"Tour, Travel Related Services"
INE0DAB01012,RVTH,Capital Goods,Industrial Manufacturing,Industrial Products
INE0UYT01018,MACHLTD,Consumer Services,Leisure Services,"Tour, Travel Related Services"
INE0S2G01011,BALAJEE,Capital Goods,Industrial Products,Packaging
INE0UOS01011,SANOFICONR,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
INE0LY301010,SSL,Financial Services,Finance,Other Financial Services
INE377Y01014,BAJAJHFL,Financial Services,Finance,Housing Finance Company
INE0O6601022,KROSS,Automobile and Auto Components,Auto Components,Auto Components & Equipments
INE0RWQ01014,TOLINS,Automobile and Auto Components,Auto Components,Tyres & Rubber Products
INE953R01016,PNGJL,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
INE0Q3401017,SAFE,Consumer Services,Other Consumer Services,E-Learning
INE0CJF01024,WCIL,Services,Transport Services,Logistics Solution Provider
INE0PZB01013,PFL,Construction,Construction,Civil Construction
INE850M01015,NORTHARC,Financial Services,Finance,Non Banking Financial Company (NBFC)
INE0QRL01017,ARKADE,Realty,Realty,"Residential, Commercial Projects"
INE939X01013,MANBA,Financial Services,Finance,Non Banking Financial Company (NBFC)
INE0Q3J01015,KRN,Capital Goods,Industrial Products,Other Industrial Products
INE184O01015,DIFFNKG,Capital Goods,Industrial Products,Other Industrial Products
INE0QUL01011,NEXXUS,Chemicals,Chemicals & Petrochemicals,Petrochemicals
INE0U6201010,SUBAM,Capital Goods,Industrial Products,Packaging
INE471R01019,NPFL,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
INE0S9501014,KGVL,Services,Commercial Services & Supplies,Trading & Distributors
INE0JVO01026,GARUDA,Construction,Construction,Civil Construction
INE0YRO01015,SHIVTEXCHEM,Chemicals,Chemicals & Petrochemicals,Trading - Chemicals
INE0APB01032,MGEL,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
INE0V6F01027,HYUNDAI,Automobile and Auto Components,Automobiles,Passenger Cars & Utility Vehicles
INE0OPA01027,DBEIL,Construction,Construction,Civil Construction
INE377N01017,WAAREEENER,Capital Goods,Electrical Equipment,Other Electrical Equipment
INE0PK601023,OCCLLTD,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
INE497S01012,GODAVARIB,Fast Moving Consumer Goods,Diversified FMCG,Diversified FMCG
INE101I01011,AFCONS,Construction,Construction,Civil Construction
INE00YB01025,ABINFRA,Construction,Construction,Civil Construction
INE0W2G01015,SAGILITY,Information Technology,IT - Services,IT Enabled Services
INE622W01025,ACMESOLAR,Power,Power,Power Generation
INE00H001014,SWIGGY,Consumer Services,Retailing,E-Retail/ E-Commerce
INE995S01015,NIVABUPA,Financial Services,Insurance,General Insurance
INE0RU901015,MANGALCOMP,Services,Commercial Services & Supplies,Diversified Commercial Services
INE0UIZ01018,BLACKBUCK,Services,Transport Services,Transport Related Services
INE0ONG01011,NTPCGREEN,Power,Power,Power Generation
INE0LLY01014,EIEL,Utilities,Other Utilities,Water Supply & Management
INE0VN801010,RAJESH,Utilities,Other Utilities,Multi Utilities
INE013P01021,ONESOURCE,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
INE877V01027,SURAKSHA,Healthcare,Healthcare Services,Healthcare Service Provider
INE0OJW01016,ROSSTECH,Capital Goods,Aerospace & Defense,Aerospace & Defense
INE0DQN01013,NISUS,Financial Services,Finance,Holding Company
INE054301028,ODIGMA,Information Technology,IT - Services,IT Enabled Services
INE403Y01018,INNOVANA,Information Technology,IT - Software,Computers - Software & Consulting
INE0XAY01012,TTC,"Media, Entertainment & Publication",Media,Advertising & Media Agencies
INE0WCH01015,JUNGLECAMP,Consumer Services,Leisure Services,Hotels & Resorts
INE0HLU01028,MOBIKWIK,Financial Services,Financial Technology (Fintech),Financial Technology (Fintech)
INE570L01029,SAILIFE,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
INE01EA01019,VMM,Consumer Services,Retailing,Diversified Retail
INE168C01013,HILLTONE,Chemicals,Chemicals & Petrochemicals,Industrial Gases
INE115Q01022,IKS,Information Technology,IT - Services,IT Enabled Services
INE00GK01023,YASHHV,Capital Goods,Electrical Equipment,Other Electrical Equipment
INE0Q9301021,IGIL,Services,Commercial Services & Supplies,Diversified Commercial Services
INE0QBD01018,HAMPS,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
INE0LB101011,NACDAC,Construction,Construction,Civil Construction
